pt_nome,pt_enderec,longitude,latitude
"R. VISC. DE ABAETE , 79",,-46.614880198580344,-23.54065085129373
"AV. LAGOA SANTA , 82",ANTONIO DA FRANCA E HORTA/ AV DA. MARIANA GALIGIORI RONCHETTI,-46.65699622969049,-23.45882547458639
"TERM. METRÔ ITAQUERA PL. B , 0",,-46.47172671038818,-23.54253824979993
"R. JOÃO AMADO COUTINHO , 0",JOSE PIZA/ R EGIDIO FELINE,-46.714957623674,-23.44635325577041
"ESTR. LÁZARO AMÂNCIO DE BARROS , 62",OLINTHO FRAGA MOREIRA/ R NEREU RANGEL PESTANA,-46.69483556632244,-23.46849044121347
"AV. RAGUEB CHOHFI , 4831",PEDRO LOURO/ R FRANCISCO BARBOSA,-46.43933648567378,-23.595219493069052
"R. INDAIÁ , 172",PC DO CENTENARIO DE VILA PRUDENTE/ R CARLOS MULLER,-46.583720045584094,-23.582228992643035
"R. CAOPIÁ , 249",ANAVINGA/ R LISA ANSORGE,-46.540486589518316,-23.602789126524893
"AV. ROUXINOL , 200",AV PINTASSILGO,-46.67255221692864,-23.602057846420994
"R. WADIH HATTI , 364",MARCIANO CAPELLA/ AV ANTONIO DIOGO,-46.494757902806995,-23.52896512331612
"R. JOÃO JOSÉ RODRIGUES , 31",,-46.45226845841025,-23.49321724537489
"R. ALENCAR ARARIPE , 336",UA VISCONDE DE MAGE,-46.59785335058418,-23.610752007129463
"R. SABBADO D'ÂNGELO , 865",MAJOR AUGUSTO SECKER/ R SAO FRANCISCO DO PIAUI,-46.44757448051706,-23.54018435442083
"R. FORTE DO TRIUNFO , 120",AV. RAGUEB CHOHFI,-46.4636907255146,-23.599273386038718
"AV. MIN. PETRÔNIO PORTELA , 471",JOAO CORDEIRO/ R SEM NOME,-46.70204573242209,-23.495175593982506
"R. DOMINGOS COUTINHO , 313",UA FRANCOLINO PEREIRA,-46.440167502667606,-23.60125250018291
"AV. RAIMUNDO PEREIRA DE MAGALHÃES , 13279",JOAO GOMES DE MENDONCA/ R MARIA DA CRUZ CUNHA,-46.723870607801246,-23.427802105350644
"R. ABÍLIO PEDRO RAMOS , 772",JOSE FIGLIOLINI/ R LOPES DA COSTA,-46.57400249921691,-23.46028673315018
"AV. DQA. DE GOIÁS , 235",PAULO BOURROUL/ R CONDE DE ITAGUAI,-46.704110479352245,-23.60967193495471
"R. TÚLIO MUGNAINI , 66",Av. Carlos Caldeira,-46.76751518592891,-23.65892432099648
"TERM. JARDIM ÂNGELA , 0",RIBAS DO RIO PARDO/ R IARIM,-46.77403455673418,-23.69053541168739
"AV. CEL. SEZEFREDO FAGUNDES , 4198",SAMANGUAIA/ R DR. AUGUSTO LEFEVRE,-46.59896268274884,-23.44709460366549
"TERM. BARRA FUNDA LADO SUL PLAT. C , 0",AV TOMAS EDSON/ R PEDRO MACHADO,-46.6679886633222,-23.526226706766657
"AV. KEMEL ADDAS , 1190",DESEMBARGADOR ISNARD DOS REIS/ R DESEMBARGADOR FAUSTO WHITAKER MACHADO ALVIM,-46.36732868415268,-23.50239663768529
"R. ARMANDO COELHO SILVA , 632",DR IGNACIO PROENCA DE GOUVEIA/ R VALDEMAR MARTINS,-46.65614334870257,-23.49329565201096
"R. DA MOOCA , 4497",TERESINA/ R NATAL,-46.58313895021959,-23.56170395989933
"R. S. LEOPOLDO , 490",VISCONDE DE PARNAIBA/ R CAJURU,-46.59897803451614,-23.541860890058217
"R. DR. CESAR , 850",EMB. JOAO NEVES DA FONTOURA/ R CARLOS ESCOBAR,-46.63459218891289,-23.503339742492646
"AV. ALEXANDRINA MALISANO DE LIMA , 863",ARISTIDES VICENZO FABRINI/ R ABRAHIM MALUF,-46.75638650156153,-23.69489234822265
"R. TACIBA , 185",VITORIANA/ R ALMAQUIO DINIS,-46.654621293599796,-23.64347493118281
"R. EMÍLIO CARDOSO AIRES , 49",AV FELIX NASCENTES PINTO/ R ERVA ANDORINHA,-46.42281418982358,-23.47607034072727
"AV. ESCOLA POLITÉCNICA , 0",AV KENKITI SIMOMOTO/ AV TORRES DE OLIVEIRA,-46.73564735095714,-23.554406799264523
"R. JOSÉ ANILDO DA MATA , 223",AV RAMIZ GALVAO/ R JOSE ANILDO DA MATA,-46.57475457435337,-23.487478829589826
"R. CIDADE DE BAGDÁ , 673",CHARLES DARWIN / AV SANTA CATARINA,-46.65486438795127,-23.65741695341561
"AV. POMPEIA , 655",MINISTRO FERREIRA ALVES/ R DESEMBARGADOR DO VALE,-46.68526682307958,-23.53044671223261
"R. ELIAS DE ALMEIDA , 300",AV JOSINO VIEIRA DE GOES/ R DOMINGOS ALLEMAGNA,-46.59211062659899,-23.44829463079249
"AV. MICHIHISA MURATA , 221",JOÃO RODRIGUES CHAVES,-46.696687609924545,-23.47566048138125
"AV. SAPOPEMBA , 7235",POSIDONIO/ R ANTONIO MUNIZ FAGUNDES,-46.52847041306986,-23.593227138800625
"AV. JOSÉ HIGINO NEVES , 876",VITALINA MARIA DE JESUS SCHALCH/ R DO CALCIO,-46.40431210918057,-23.564967598496896
"R. ANTÔNIO FORLENZA , 7",VALTER AYROSA FLAQUER / R CAPITAO JOSE CERQUEIRA LEITE,-46.79378047291649,-23.673769474999872
"AV. CACHOEIRA MORENA , 639",CACHOEIRA DAS JANGADAS/ R ARROIO PIRAJUI,-46.403317110440064,-23.572884618609447
"R. JOAQUIM MARRA , 2044",GERALDA MARIA DE JESUS SANTOS/ AV NAPOLEAO,-46.51476213089217,-23.541418085347143
"AV. SEN. JOSÉ ERMÍRIO DE MORAES , 823",ELIAS DE SOUZA PINTO/ R PASCOAL GOMES DE LIMA,-46.61524182796315,-23.44836355608909
"R. FRANCISCO DE SOUTOMAIOR , 315",CESARE POLLINI/ R JERONIMO PEDROSO BARROS,-46.39106893391999,-23.526466581937882
